Date,1 Yr,2 Yr,3 Yr
10/27/2015,0.997108386,0.98712566,0.972900159
10/28/2015,0.996710854,0.985558328,0.970590148
10/29/2015,0.996710854,0.985167078,0.969150103
10/30/2015,0.996611521,0.985167078,0.969150103
11/2/2015,0.99631364,0.984776061,0.968287444
11/3/2015,0.996115151,0.984189972,0.967712906
11/4/2015,0.996015936,0.983409334,0.965992018
11/5/2015,0.995817566,0.983214319,0.965992018
11/6/2015,0.995321987,0.982240116,0.963989469
11/9/2015,0.995321987,0.982434841,0.96284764
11/10/2015,0.994925878,0.982824464,0.964275208
11/12/2015,0.994925878,0.982434841,0.963703842
11/13/2015,0.995024876,0.983019363,0.964847026
11/16/2015,0.995024876,0.982629624,0.965419296
11/17/2015,0.995024876,0.983019363,0.965419296
11/18/2015,0.995123893,0.982240116,0.964561061
11/19/2015,0.995123893,0.98204545,0.964561061
11/20/2015,0.995123893,0.98165629,0.963989469
11/23/2015,0.995024876,0.981461796,0.963132928
11/24/2015,0.9948269,0.98165629,0.963989469
11/25/2015,0.9948269,0.98165629,0.963418329
11/27/2015,0.995024876,0.981850841,0.963989469
11/30/2015,0.994925878,0.981461796,0.963703842
12/1/2015,0.994925878,0.98204545,0.965133104
12/2/2015,0.9948269,0.981461796,0.963989469
12/3/2015,0.994332306,0.981072983,0.96284764
12/4/2015,0.994035785,0.981072983,0.963418329
12/7/2015,0.993344591,0.981461796,0.963703842
12/8/2015,0.992457324,0.981461796,0.963418329
12/9/2015,0.992851469,0.98165629,0.964275208
12/10/2015,0.992950055,0.981267361,0.963418329
12/11/2015,0.993245928,0.982629624,0.965992018
12/14/2015,0.993245928,0.980878663,0.963418329
12/15/2015,0.993147284,0.980684401,0.962277401
12/16/2015,0.993048659,0.979907929,0.960569385
12/17/2015,0.993147284,0.980296049,0.961138274
12/18/2015,0.993344591,0.980878663,0.96284764
12/21/2015,0.9936407,0.981072983,0.962562464
12/22/2015,0.993443274,0.980490196,0.961707613
12/23/2015,0.993541977,0.98010196,0.961422887
12/24/2015,0.9936407,0.979713955,0.961138274
12/28/2015,0.993443274,0.97932618,0.961138274
12/29/2015,0.993344591,0.97855132,0.959716893
12/30/2015,0.9936407,0.978744948,0.960285109
12/31/2015,0.993541977,0.979132378,0.961707613
1/4/2016,0.993936984,0.979907929,0.961707613
1/5/2016,0.993245928,0.979520038,0.961422887
1/6/2016,0.993344591,0.980490196,0.963132928
1/7/2016,0.993443274,0.981072983,0.964275208
1/8/2016,0.9936407,0.981461796,0.964847026
1/11/2016,0.993739442,0.981461796,0.964847026
1/12/2016,0.993838203,0.98165629,0.965419296
1/13/2016,0.994035785,0.98204545,0.966278549
1/14/2016,0.994530085,0.982240116,0.966565194
1/15/2016,0.995123893,0.983214319,0.968287444
1/19/2016,0.99522293,0.982629624,0.967425808
1/20/2016,0.995718411,0.983214319,0.968862436
1/21/2016,0.995619275,0.983409334,0.968862436
1/22/2016,0.995321987,0.982629624,0.967425808
1/25/2016,0.995321987,0.982629624,0.967712906
1/26/2016,0.995321987,0.983214319,0.968574883
1/27/2016,0.995321987,0.983409334,0.968574883
1/28/2016,0.995321987,0.983604406,0.969150103
1/29/2016,0.995321987,0.984971541,0.971455544
2/1/2016,0.995321987,0.983994726,0.970301911
2/2/2016,0.994629003,0.985167078,0.972611007
2/3/2016,0.994629003,0.98575404,0.973189426
2/4/2016,0.9948269,0.98614564,0.973478807
2/5/2016,0.994530085,0.985362674,0.973189426
2/8/2016,0.994925878,0.986929539,0.975507692
2/9/2016,0.9948269,0.986341527,0.974927436
2/10/2016,0.9948269,0.985949811,0.974927436
2/11/2016,0.995321987,0.98732184,0.976088409
2/12/2016,0.994925878,0.985949811,0.973768303
2/16/2016,0.994925878,0.985362674,0.973189426
2/17/2016,0.994727942,0.985362674,0.972611007
2/18/2016,0.994727942,0.985949811,0.974057914
2/19/2016,0.994727942,0.984971541,0.973189426
2/22/2016,0.994530085,0.98458064,0.972900159
2/23/2016,0.994530085,0.984971541,0.973478807
2/24/2016,0.994530085,0.985167078,0.973478807
2/25/2016,0.994431185,0.98575404,0.974927436
2/26/2016,0.994035785,0.984189972,0.972611007
2/29/2016,0.993838203,0.98458064,0.973189426
3/1/2016,0.993245928,0.983214319,0.971166965
3/2/2016,0.993344591,0.983214319,0.970590148
3/3/2016,0.993541977,0.983214319,0.970878499
3/4/2016,0.993344591,0.982629624,0.969437884
3/7/2016,0.993344591,0.98204545,0.968287444
3/8/2016,0.993245928,0.982629624,0.969437884
3/9/2016,0.993245928,0.982240116,0.968574883
3/10/2016,0.993147284,0.98165629,0.967425808
3/11/2016,0.993048659,0.980878663,0.965992018
3/14/2016,0.993048659,0.980878663,0.966278549
3/15/2016,0.992950055,0.980684401,0.965992018
3/16/2016,0.993443274,0.982824464,0.969150103
3/17/2016,0.9936407,0.982824464,0.969437884
3/18/2016,0.993838203,0.983409334,0.970590148
3/21/2016,0.993739442,0.982824464,0.969150103
3/22/2016,0.9936407,0.98204545,0.968287444
3/23/2016,0.9936407,0.982824464,0.969725779
3/24/2016,0.993739442,0.982434841,0.969150103
3/28/2016,0.993541977,0.982434841,0.969437884
3/29/2016,0.993739442,0.98458064,0.97232197
3/30/2016,0.993936984,0.984971541,0.973189426
3/31/2016,0.994134606,0.985558328,0.97434764
4/1/2016,0.993838203,0.984971541,0.973478807
4/4/2016,0.994134606,0.985167078,0.974057914
4/5/2016,0.994431185,0.98575404,0.974927436
4/6/2016,0.994530085,0.985558328,0.974057914
4/7/2016,0.9948269,0.98614564,0.975507692
4/8/2016,0.994629003,0.98614564,0.975217507
4/11/2016,0.994727942,0.98614564,0.974927436
4/12/2016,0.994629003,0.985362674,0.973478807
4/13/2016,0.994530085,0.985167078,0.973478807
4/14/2016,0.994530085,0.984776061,0.972900159
4/15/2016,0.994727942,0.985362674,0.97434764
4/18/2016,0.9948269,0.985167078,0.973478807
4/19/2016,0.994727942,0.984776061,0.972900159
4/20/2016,0.994629003,0.984189972,0.971455544
4/21/2016,0.994431185,0.983799537,0.971166965
4/22/2016,0.994431185,0.983409334,0.970301911
4/25/2016,0.994332306,0.983214319,0.970301911
4/26/2016,0.993936984,0.983019363,0.969437884
4/27/2016,0.994233446,0.983604406,0.970878499
4/28/2016,0.994431185,0.98458064,0.972611007
4/29/2016,0.994431185,0.984776061,0.972900159
5/2/2016,0.994530085,0.984189972,0.971744238
5/3/2016,0.994727942,0.985167078,0.972900159
5/4/2016,0.9948269,0.985167078,0.973768303
5/5/2016,0.994925878,0.98575404,0.97434764
5/6/2016,0.994925878,0.985362674,0.973478807
5/9/2016,0.994925878,0.98575404,0.974637481
5/10/2016,0.9948269,0.98575404,0.974057914
5/11/2016,0.994727942,0.985362674,0.97434764
5/12/2016,0.994629003,0.984971541,0.972900159
5/13/2016,0.994530085,0.984971541,0.973189426
5/16/2016,0.994332306,0.984385277,0.97232197
5/17/2016,0.994233446,0.983799537,0.971455544
5/18/2016,0.993739442,0.982240116,0.968287444
5/19/2016,0.9936407,0.982434841,0.968862436
5/20/2016,0.993344591,0.982434841,0.969150103
5/23/2016,0.993147284,0.98204545,0.969150103
5/24/2016,0.993147284,0.981850841,0.968287444
5/25/2016,0.993344591,0.981850841,0.968287444
5/26/2016,0.993541977,0.982824464,0.969725779
5/27/2016,0.993245928,0.982240116,0.968862436
5/31/2016,0.993245928,0.982824464,0.969725779
6/1/2016,0.993048659,0.98204545,0.968574883
6/2/2016,0.993245928,0.982434841,0.969725779
6/3/2016,0.994035785,0.98458064,0.972900159
6/6/2016,0.994035785,0.984189972,0.97232197
6/7/2016,0.994134606,0.98458064,0.97232197
6/8/2016,0.994035785,0.98458064,0.972611007
6/9/2016,0.994134606,0.984776061,0.973189426
6/10/2016,0.994332306,0.985558328,0.97434764
6/13/2016,0.994530085,0.985558328,0.975217507
6/14/2016,0.994530085,0.985362674,0.974927436
6/15/2016,0.9948269,0.986341527,0.976088409
6/16/2016,0.994727942,0.98614564,0.976088409
6/17/2016,0.994925878,0.98614564,0.975507692
